modelId,since-create,since-last-model-update,has-license,what-license,what-library,what-task,num-commit,num-discussion,model-size,num-update,update-interval,since-last-update,num-update-contributor,isEnglish,num-code-block,num-inline-code,num-list,num-link,num-img,num-table,num-emoji,num-heading,num-word,has-description,has-uses,has-limitations-and-bias,has-training,has-evaluation,quality
Gille/StrangeMerges_22-7B-slerp,-0.824872448,-0.877197271,0.798216154,-0.461010685,1.217981431,0.690065644,-0.331931527,-0.042557921,0.251870644,-0.054991913,-0.79902161,-0.874410102,1.439939732,0.202999486,0.113130999,-0.326488017,-0.546126526,-0.076023159,-0.100524931,0.604294654,0.315375399,-0.401076986,-0.243645497,0.53973304,-0.852438549,-0.242196651,-0.852438549,1.722958615,1
rudeuns/videomae-base-finetuned,-0.832048256,-0.799828033,0.798216154,0.354091846,0.069628373,1.784067751,1.322232797,-0.121623863,-0.191929138,0.096585797,-0.834538441,-0.80366921,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.419199335,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.241376563,-1.852767805,1.173105088,-0.242196651,1.173105088,-0.580396994,0
CatBarks/bertES_PosWeighted1_tokenizer,-0.83563616,-0.799828033,-1.252793489,-0.810340341,1.355783798,-1.361188309,-0.446011826,-0.121623863,-0.214127239,-0.358147335,-0.555477622,-0.80366921,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.037172503,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
LoneStriker/ShoriRP-merged-v0.57-3.0bpw-h6-exl2,-0.842811969,-0.808424615,0.798216154,-0.461010685,1.217981431,0.690065644,-0.446011826,-0.121623863,-0.118152499,-0.358147335,-0.565625288,-0.811529309,-0.260176026,0.202999486,-0.1507253,-0.326488017,-0.546126526,-0.143658785,-0.100524931,-0.486313316,-0.136523566,-0.304348906,-0.233435294,0.53973304,1.173105088,4.128876245,1.173105088,-0.580396994,1
to100mak/qlora-koalpaca-polyglot-12.8b-50step,-0.846399873,-0.877197271,-1.252793489,-0.810340341,1.217981431,-1.361188309,-0.388971676,-0.121623863,-0.213283431,-0.206569624,-0.748283279,-0.874410102,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.019021031,0.53973304,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
danielhanchen/lora_model_20022024,-0.849987778,-0.817021197,-1.252793489,-0.810340341,1.217981431,-1.361188309,-0.046730782,-0.121623863,-0.208727337,-0.358147335,-0.575772954,-0.819389408,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.037172503,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
NoteDance/CLIP,-0.853575682,-0.82991607,0.798216154,-0.461010685,1.172047308,1.920818015,0.238469964,-0.121623863,-0.214127239,1.612362903,-0.900498271,-0.831179557,-0.260176026,0.202999486,-0.414581599,-0.326488017,-0.70701417,-0.211294412,-0.100524931,-0.486313316,-0.136523566,-0.787989306,-0.367302401,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
soundarya2815/zephyrft,-0.857163586,-0.834214361,-1.252793489,-0.810340341,1.217981431,-1.361188309,-0.274891378,-0.121623863,-0.213249516,-0.358147335,-0.590994454,-0.831179557,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.037172503,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
Jasondeepmusic/demo,-0.86075149,-0.855705816,-1.252793489,-0.810340341,1.217981431,-1.361188309,1.550393393,-0.121623863,-0.188093631,-0.358147335,-0.590994454,-0.831179557,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.037172503,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
LazarusNLP/NusaBERT-large,-0.864339395,-0.881495562,0.798216154,-0.461010685,0.437101351,-0.540686728,2.634156226,-0.121623863,-0.17079022,0.248163508,-0.859907606,-0.878340151,-0.260176026,0.202999486,0.113130999,1.899956908,1.223637553,0.803239992,0.072063739,-0.486313316,0.315375399,-0.014164666,-0.137005599,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,1
